Name,Company_Name,Employee_Job_Title,Employee_City,Employee_Country,Employee_Salary,Employment_Status,Employee_Rating,Credits
Johnny Maynard,"White, Mcclain and Cobb",Equities trader,New Cindychester,Mongolia,764340,Full Time,3.3,1
Michael Williams,Scott Inc,Patent examiner,Ricardomouth,Guinea-Bissau,929230,Full Time,4.6,4
Laura Flynn,Andrade LLC,Equities trader,North Melissafurt,Tonga,606900,Intern,0.3,3
Stefanie Archer,James and Sons,Retail merchandiser,Ricardomouth,San Marino,775380,Full Time,2.8,5
Sierra Garcia,Matthews Inc,Armed forces logistics/support/administrative officer,Whitakerbury,Nepal,944480,Full Time,4.5,4
Donna Miller,Andrade LLC,Garment/textile technologist,West Jamesview,Tonga,428090,Intern,1.1,4
Linda Rodriguez,Marshall-Holloway,Optometrist,Whitakerbury,Portugal,645690,Full Time,4.7,5
Jonathan Gibson,Scott Inc,Naval architect,Whiteside,Libyan Arab Jamahiriya,483210,Intern,3.4,1
Karl Henry,"Campos, Reynolds and Mccormick","Radiographer, therapeutic",Whiteside,Kyrgyz Republic,586480,Full Time,3.7,2
Katherine Sims,"Baker, Allen and Edwards",Regulatory affairs officer,Kristaburgh,Haiti,712320,Full Time,3.0,2
Lisa Chambers,Nelson-Li,Diplomatic Services operational officer,Kristaburgh,Korea,125040,Intern,3.4,2
William Ingram,"Baker, Allen and Edwards",Energy manager,North Melissafurt,Comoros,104690,Full Time,0.3,4
Jessica Thomas,Thomas-Spencer,Sales promotion account executive,New Cindychester,Georgia,193660,Full Time,2.9,5
Lisa Pugh,"Baker, Allen and Edwards",Retail merchandiser,New Cindychester,Panama,69840,Full Time,4.8,1
Jennifer Chang,Nelson-Li,Actuary,New Cindychester,Uruguay,639550,Full Time,1.7,3
Zachary Cannon,"Johnston, Fleming and Tanner",Actuary,North Melissafurt,Brunei Darussalam,524670,Full Time,2.0,1
Lawrence Henderson,"White, Mcclain and Cobb",Sales promotion account executive,Whiteside,Namibia,469510,Full Time,1.6,3
Carla York,Andrade LLC,Equities trader,New Cindychester,Mexico,312470,Full Time,0.4,4
Lisa Walls,Scott Inc,Administrator,Whiteside,Greenland,646480,Intern,3.5,1
Carlos Evans,Nichols-James,Production engineer,Kristaburgh,Iceland,803260,Full Time,1.7,4
David Mills,"Johnston, Fleming and Tanner",Retail merchandiser,Aliciafort,Kyrgyz Republic,761470,Intern,1.9,5
Rebecca Marquez,Nichols-James,Naval architect,Whiteside,Pakistan,579620,Full Time,1.9,1
Jason Reyes,Matthews Inc,Diplomatic Services operational officer,Kristaburgh,Lebanon,517769,Full Time,2.8,5
Janet Lawrence,Scott Inc,Production engineer,Whiteside,Sao Tome and Principe,352600,Full Time,4.5,2
Alan Li,James and Sons,Make,New Cindychester,Philippines,472050,Full Time,1.3,4
Kathy Thompson,"Baker, Allen and Edwards",Actuary,Whiteside,Bouvet Island (Bouvetoya),898920,Full Time,1.3,1
Justin Curry,James and Sons,Equities trader,New Cindychester,Niger,823250,Intern,2.1,4
